step,reward,queue,avg_wait,peds,cars,ambulance,trucks,timestamp
226,0,12,0,138,26,4,6,00:55:12
227,0,12,0,138,26,4,6,00:55:12
228,0,11,0,138,26,4,6,00:55:12
229,0,9,0,138,26,4,6,00:55:12
230,0,10,0,138,26,4,6,00:55:13
231,0,11,0,138,26,4,6,00:55:13
232,0,11,0,138,26,4,6,00:55:13
233,0,10,0,138,26,4,6,00:55:13
234,0,9,0,138,26,4,6,00:55:13
235,0,9,0,138,26,4,6,00:55:13
236,0,11,0,138,26,4,6,00:55:13
237,0,13,0,138,26,4,6,00:55:13
238,0,13,0,138,26,4,6,00:55:13
239,0,13,0,138,26,4,6,00:55:13
240,0,13,0,138,26,4,6,00:55:13
241,0,14,0,138,26,4,6,00:55:13
242,0,14,0,138,26,4,6,00:55:13
243,0,14,0,138,26,4,6,00:55:13
244,0,13,0,138,26,4,6,00:55:13
245,0,13,0,138,26,4,6,00:55:13
246,0,13,0,138,26,4,6,00:55:13
247,0,14,0,138,26,4,6,00:55:13
248,0,14,0,138,26,4,6,00:55:13
249,0,14,0,138,26,4,6,00:55:14
250,0,14,0,163,22,4,6,00:55:14
251,0,14,0,163,22,4,6,00:55:14
252,0,15,0,163,22,4,6,00:55:14
253,0,17,0,163,22,4,6,00:55:14
254,0,18,0,163,22,4,6,00:55:14
255,0,20,0,163,22,4,6,00:55:14
256,0,20,0,163,22,4,6,00:55:14
257,0,21,0,163,22,4,6,00:55:14
258,0,20,0,163,22,4,6,00:55:14
259,0,18,0,163,22,4,6,00:55:14
260,0,19,0,163,22,4,6,00:55:14
261,0,20,0,163,22,4,6,00:55:14
262,0,20,0,163,22,4,6,00:55:14
263,0,19,0,163,22,4,6,00:55:14
264,0,19,0,163,22,4,6,00:55:14
265,0,19,0,163,22,4,6,00:55:14
266,0,19,0,163,22,4,6,00:55:14
267,0,19,0,163,22,4,6,00:55:14
268,0,19,0,163,22,4,6,00:55:15
269,0,19,0,163,22,4,6,00:55:15
270,0,19,0,163,22,4,6,00:55:15
271,0,19,0,163,22,4,6,00:55:15
272,0,18,0,163,22,4,6,00:55:15
273,0,18,0,163,22,4,6,00:55:15
274,0,18,0,163,22,4,6,00:55:15
275,0,18,0,163,22,4,6,00:55:15
276,0,19,0,163,22,4,6,00:55:15
277,0,19,0,163,22,4,6,00:55:15
278,0,20,0,163,22,4,6,00:55:15
279,0,20,0,163,22,4,6,00:55:15
280,0,20,0,163,22,4,6,00:55:15
281,0,20,0,163,22,4,6,00:55:15
282,0,19,0,163,22,4,6,00:55:15
283,0,20,0,163,22,4,6,00:55:15
284,0,20,0,163,22,4,6,00:55:15
285,0,20,0,163,22,4,6,00:55:15
286,0,20,0,163,22,4,6,00:55:15
287,0,20,0,163,22,4,6,00:55:15
288,0,20,0,163,22,4,6,00:55:16
289,0,21,0,163,22,4,6,00:55:16
290,0,21,0,163,22,4,6,00:55:16
291,0,21,0,163,22,4,6,00:55:16
292,0,21,0,163,22,4,6,00:55:16
293,0,21,0,163,22,4,6,00:55:16
294,0,21,0,163,22,4,6,00:55:16
295,0,22,0,163,22,4,6,00:55:16
296,0,22,0,163,22,4,6,00:55:16
297,0,22,0,163,22,4,6,00:55:16
298,0,22,0,163,22,4,6,00:55:16
299,0,22,0,163,22,4,6,00:55:16
300,0,24,0,194,22,4,7,00:55:16
301,0,25,0,194,22,4,7,00:55:16
302,0,25,0,194,22,4,7,00:55:16
303,0,25,0,194,22,4,7,00:55:16
304,0,25,0,194,22,4,7,00:55:16
305,0,25,0,194,22,4,7,00:55:17
306,0,25,0,194,22,4,7,00:55:17
307,0,25,0,194,22,4,7,00:55:17
308,0,26,0,194,22,4,7,00:55:17
309,0,26,0,194,22,4,7,00:55:17
310,0,26,0,194,22,4,7,00:55:17
311,0,26,0,194,22,4,7,00:55:17
312,0,26,0,194,22,4,7,00:55:17
313,0,26,0,194,22,4,7,00:55:17
314,0,27,0,194,22,4,7,00:55:17
315,0,27,0,194,22,4,7,00:55:17
316,0,27,0,194,22,4,7,00:55:17
317,0,27,0,194,22,4,7,00:55:17
318,0,27,0,194,22,4,7,00:55:17
319,0,27,0,194,22,4,7,00:55:17
320,0,27,0,194,22,4,7,00:55:17
321,0,27,0,194,22,4,7,00:55:17
322,0,27,0,194,22,4,7,00:55:17
323,0,27,0,194,22,4,7,00:55:17
324,0,21,0,194,22,4,7,00:55:18
325,0,20,0,194,22,4,7,00:55:18
326,0,20,0,194,22,4,7,00:55:18
327,0,20,0,194,22,4,7,00:55:18
328,0,23,0,194,22,4,7,00:55:18
329,0,18,0,194,22,4,7,00:55:18
330,0,18,0,194,22,4,7,00:55:18
331,0,17,0,194,22,4,7,00:55:18
332,0,17,0,194,22,4,7,00:55:18
333,0,14,0,194,22,4,7,00:55:18
334,0,14,0,194,22,4,7,00:55:18
335,0,15,0,194,22,4,7,00:55:18
336,0,13,0,194,22,4,7,00:55:18
337,0,13,0,194,22,4,7,00:55:18
338,0,13,0,194,22,4,7,00:55:18
339,0,14,0,194,22,4,7,00:55:18
340,0,15,0,194,22,4,7,00:55:18
341,0,14,0,194,22,4,7,00:55:18
342,0,14,0,194,22,4,7,00:55:18
343,0,14,0,194,22,4,7,00:55:18
344,0,15,0,194,22,4,7,00:55:19
345,0,15,0,194,22,4,7,00:55:19
346,0,16,0,194,22,4,7,00:55:19
347,0,16,0,194,22,4,7,00:55:19
348,0,17,0,194,22,4,7,00:55:19
349,0,17,0,194,22,4,7,00:55:19
350,0,19,0,216,24,4,7,00:55:19
351,0,20,0,216,24,4,7,00:55:19
352,0,21,0,216,24,4,7,00:55:19
353,0,21,0,216,24,4,7,00:55:19
354,0,21,0,216,24,4,7,00:55:19
355,0,21,0,216,24,4,7,00:55:19
356,0,22,0,216,24,4,7,00:55:19
357,0,20,0,216,24,4,7,00:55:19
358,0,20,0,216,24,4,7,00:55:19
359,0,21,0,216,24,4,7,00:55:19
360,0,21,0,216,24,4,7,00:55:19
361,0,22,0,216,24,4,7,00:55:19
362,0,22,0,216,24,4,7,00:55:19
363,0,22,0,216,24,4,7,00:55:20
364,0,22,0,216,24,4,7,00:55:20
365,0,23,0,216,24,4,7,00:55:20
366,0,22,0,216,24,4,7,00:55:20
367,0,22,0,216,24,4,7,00:55:20
368,0,22,0,216,24,4,7,00:55:20
369,0,22,0,216,24,4,7,00:55:20
370,0,22,0,216,24,4,7,00:55:20
371,0,22,0,216,24,4,7,00:55:20
372,0,22,0,216,24,4,7,00:55:20
373,0,23,0,216,24,4,7,00:55:20
374,0,23,0,216,24,4,7,00:55:20
375,0,27,0,216,24,4,7,00:55:20
376,0,27,0,216,24,4,7,00:55:20
377,0,27,0,216,24,4,7,00:55:20
378,0,27,0,216,24,4,7,00:55:20
379,0,26,0,216,24,4,7,00:55:20
380,0,27,0,216,24,4,7,00:55:20
381,0,27,0,216,24,4,7,00:55:20
382,0,27,0,216,24,4,7,00:55:20
383,0,27,0,216,24,4,7,00:55:20
384,0,27,0,216,24,4,7,00:55:20
385,0,26,0,216,24,4,7,00:55:21
386,0,27,0,216,24,4,7,00:55:21
387,0,27,0,216,24,4,7,00:55:21
388,0,27,0,216,24,4,7,00:55:21
389,0,28,0,216,24,4,7,00:55:21
390,0,28,0,216,24,4,7,00:55:21
391,0,28,0,216,24,4,7,00:55:21
392,0,28,0,216,24,4,7,00:55:21
393,0,29,0,216,24,4,7,00:55:21
394,0,29,0,216,24,4,7,00:55:21
395,0,29,0,216,24,4,7,00:55:21
396,0,29,0,216,24,4,7,00:55:21
397,0,29,0,216,24,4,7,00:55:21
398,0,29,0,216,24,4,7,00:55:21
399,0,29,0,216,24,4,7,00:55:21
